url,title,publisher,time
https://baomoi.com/lo-ly-do-con-trai-chon-thi-the-me-de-95-tuoi-trong-vuon-nha-minh/c/43879798.epi,Lộ lý do con trai chôn thi thể mẹ đẻ 95 tuổi trong vườn nhà mình,Báo Gia Đình & Xã Hội,2022-10-01T12:05:00+07:00
https://baomoi.com/an-mang-trong-con-cuong-ghen-cua-ga-dan-ong-da-co-vo/c/43879799.epi,Án mạng trong cơn cuồng ghen của gã đàn ông đã có vợ,Báo Gia Đình & Xã Hội,2022-10-01T12:00:00+07:00
https://baomoi.com/su-that-thong-tin-lum-xum-viec-su-dung-xe-bien-xanh-cua-lanh-dao-hdnd-tinh-dak-lak/c/43879708.epi,Sự thật thông tin 'lùm xùm' việc sử dụng xe biển xanh của lãnh đạo HĐND tỉnh Đắk Lắk,Báo Bảo Vệ Pháp Luật,2022-10-01T11:56:00+07:00
https://baomoi.com/khang-nghi-huy-an-vi-sai-toi-danh/c/43879680.epi,Kháng nghị hủy án vì sai tội danh,Báo Bảo Vệ Pháp Luật,2022-10-01T11:55:00+07:00
https://baomoi.com/khac-phuc-toan-bo-thiet-hai-cuu-thu-truong-truong-quoc-cuong-duoc-giam-an/c/43879679.epi,"Khắc phục toàn bộ thiệt hại, cựu Thứ trưởng Trương Quốc Cường được giảm án",Báo Bảo Vệ Pháp Luật,2022-10-01T11:54:00+07:00
https://baomoi.com/ru-nhau-vao-khu-bao-ton-don-3-cay-go-giang-huong/c/43879667.epi,Rủ nhau vào khu bảo tồn đốn 3 cây gỗ giáng hương,Báo Công An Nhân Dân,2022-10-01T11:46:00+07:00
https://baomoi.com/luyen-tap-nang-cao-ky-nang-phong-chay-chua-chay-cho-dan-phong/c/43879638.epi,"Luyện tập, nâng cao kỹ năng phòng cháy chữa cháy cho dân phòng",Báo Người Lao Động,2022-10-01T11:44:22+07:00
https://baomoi.com/cu-ong-70-tuoi-bi-to-xam-hai-nu-sinh-lop-6-den-mang-thai-da-tu-vong/c/43879627.epi,Cụ ông 70 tuổi bị tố xâm hại nữ sinh lớp 6 đến mang thai đã tử vong,Báo Người Lao Động,2022-10-01T11:42:41+07:00
https://baomoi.com/chieu-dai-ban-bang-ma-tuy-trong-quan-karaoke/c/43879697.epi,Chiêu đãi bạn bằng ma túy trong quán karaoke,Báo An Ninh Thủ Đô,2022-10-01T11:42:20+07:00
https://baomoi.com/tam-giu-hang-nghin-lo-sa-te-tom-gia-mao-nhan-hieu-thuan-phat/c/43879696.epi,Tạm giữ hàng nghìn lọ sa tế tôm giả mạo nhãn hiệu Thuận Phát,Báo An Ninh Thủ Đô,2022-10-01T11:40:12+07:00
